customer_id,tenure_months,monthly_spend,support_tickets,region,plan_type,satisfaction_score,contract_length_months,churned
CUST-00044,61,76.49,1,AMER,basic,,1,0
CUST-00045,44,191.59,1,EMEA,basic,6.13,1,1
CUST-00046,9,72.45,2,EMEA,basic,7.61,12,0
CUST-00047,4,149.31,2,EMEA,basic,,12,1
CUST-00048,32,58.28,1,EMEA,pro,5.29,24,0
CUST-00049,3,133.46,1,AMER,basic,8.94,12,0
CUST-00050,11,105.61,4,AMER,basic,6.23,1,1
CUST-00051,37,117.31,1,AMER,pro,6.21,1,0
CUST-00052,69,145.59,2,EMEA,basic,4.66,24,0
CUST-00053,34,199.03,0,AMER,basic,7.31,1,0
CUST-00054,58,128.76,1,AMER,pro,8.33,12,0
CUST-00055,66,125.6,1,EMEA,pro,6.1,24,0
CUST-00056,59,76.2,1,AMER,pro,6.59,12,0
CUST-00057,45,146.25,0,APAC,pro,4.73,1,0
CUST-00058,32,108.93,0,AMER,basic,9.46,12,0
CUST-00059,37,157.44,1,EMEA,basic,5.82,12,0
CUST-00060,19,118.03,2,EMEA,pro,6.65,12,1
CUST-00061,36,198.34,4,LATAM,pro,9.97,1,0
CUST-00062,27,30.77,1,EMEA,pro,6.52,24,0
CUST-00063,18,106.65,4,LATAM,enterprise,4.14,12,1
CUST-00064,71,159.67,1,AMER,pro,5.26,12,0
CUST-00065,1,104.22,1,LATAM,pro,6.29,12,0
CUST-00066,7,84.35,5,AMER,enterprise,10.0,1,0
CUST-00067,14,108.04,1,APAC,basic,7.34,1,1
CUST-00068,69,57.9,1,AMER,basic,6.53,12,0
CUST-00069,50,,2,APAC,enterprise,8.43,24,0
CUST-00070,63,229.82,2,EMEA,basic,9.29,24,0
CUST-00071,15,171.53,2,EMEA,basic,5.57,24,0
CUST-00072,52,70.09,2,AMER,basic,9.53,1,0
CUST-00073,27,80.7,2,AMER,pro,8.49,24,0
CUST-00074,35,101.79,0,AMER,basic,7.75,1,0
CUST-00075,1,165.2,1,AMER,basic,,1,1
CUST-00076,44,83.03,1,EMEA,basic,7.3,24,0
CUST-00077,59,88.94,3,AMER,basic,9.46,1,0
CUST-00078,48,159.81,2,AMER,basic,6.45,12,0
CUST-00079,11,158.91,1,AMER,enterprise,10.0,12,0
CUST-00080,38,103.18,0,AMER,basic,7.08,24,1
CUST-00081,19,69.7,3,AMER,basic,5.11,24,0
CUST-00082,69,50.26,4,EMEA,pro,8.02,12,0
CUST-00083,63,88.55,0,LATAM,pro,7.48,1,0
CUST-00084,14,19.63,2,EMEA,pro,8.46,1,0
CUST-00085,37,153.74,1,APAC,basic,6.55,1,0
CUST-00086,67,91.65,1,AMER,basic,9.31,12,0
CUST-00087,61,141.66,1,EMEA,basic,5.94,12,0
CUST-00088,51,204.07,4,APAC,pro,,24,0
CUST-00089,46,172.78,3,LATAM,basic,4.69,24,0
CUST-00090,3,68.2,1,APAC,basic,5.5,1,0
CUST-00091,53,159.12,0,EMEA,pro,,12,0
CUST-00092,34,172.1,1,LATAM,pro,5.76,24,0
CUST-00093,7,86.41,1,AMER,basic,6.14,12,0
CUST-00094,18,77.1,3,APAC,basic,6.58,12,1
CUST-00095,39,115.06,1,APAC,enterprise,7.41,24,0
CUST-00096,52,47.94,0,APAC,basic,8.34,24,0
CUST-00097,37,,2,AMER,pro,8.35,1,0
CUST-00098,44,11.76,2,AMER,basic,8.81,24,0
CUST-00099,62,70.19,1,AMER,pro,7.33,12,0
CUST-00100,49,107.87,2,EMEA,basic,5.97,1,0
CUST-00101,26,109.78,2,AMER,pro,4.08,12,1
CUST-00102,46,127.48,0,LATAM,enterprise,6.33,24,0
CUST-00103,43,132.22,1,AMER,basic,5.51,1,1
CUST-00104,8,110.39,2,APAC,enterprise,3.66,1,1
CUST-00105,5,171.16,3,EMEA,basic,9.95,24,0
CUST-00106,47,23.73,1,AMER,basic,3.61,12,1
CUST-00107,28,119.99,2,AMER,pro,7.6,24,0
CUST-00108,43,87.84,0,AMER,pro,7.97,1,0
CUST-00109,23,125.96,1,AMER,basic,6.53,1,0
CUST-00110,17,129.93,2,AMER,pro,10.0,24,0
CUST-00111,11,78.97,0,AMER,pro,,12,1
CUST-00112,28,91.16,1,LATAM,enterprise,5.57,24,0
CUST-00113,58,155.67,1,EMEA,enterprise,10.0,12,0
CUST-00114,29,135.71,2,EMEA,enterprise,5.5,24,0
CUST-00115,27,89.39,1,APAC,pro,4.35,12,0
CUST-00116,41,211.8,4,AMER,pro,5.13,12,0
CUST-00117,70,223.91,0,LATAM,pro,5.79,24,0
CUST-00118,28,54.19,2,AMER,basic,7.04,12,0
CUST-00119,42,133.58,0,AMER,pro,,24,0
CUST-00120,32,232.9,1,AMER,basic,,24,0
CUST-00121,43,155.28,4,AMER,basic,7.6,12,1
CUST-00122,32,129.95,2,AMER,basic,10.0,24,0
CUST-00123,46,110.64,1,EMEA,basic,5.66,12,0
CUST-00124,39,95.65,1,EMEA,pro,6.72,24,0
CUST-00125,49,110.44,2,AMER,pro,8.23,1,0
CUST-00126,68,95.22,4,LATAM,pro,9.16,1,0
CUST-00127,11,153.52,0,APAC,basic,5.74,1,1
CUST-00128,40,102.08,0,EMEA,pro,5.2,1,0
CUST-00129,32,100.15,4,LATAM,basic,5.12,12,0
CUST-00130,26,65.9,2,EMEA,basic,8.96,24,0
CUST-00131,18,117.77,4,AMER,basic,8.6,12,1
CUST-00132,4,79.76,4,APAC,pro,3.01,24,1
CUST-00133,29,111.87,3,LATAM,enterprise,3.05,24,0
CUST-00134,59,166.88,0,AMER,basic,4.7,12,0
CUST-00135,7,136.47,3,EMEA,basic,4.22,12,1
CUST-00136,29,142.71,2,AMER,pro,7.71,1,0
CUST-00137,69,136.02,0,LATAM,basic,7.36,24,0
CUST-00138,68,122.66,3,AMER,basic,10.0,24,0
CUST-00139,16,114.27,2,APAC,pro,8.41,24,0
CUST-00140,1,106.15,1,AMER,basic,7.18,12,0
CUST-00141,48,154.16,3,EMEA,enterprise,9.12,12,0
CUST-00142,2,71.21,3,EMEA,basic,5.33,12,1
CUST-00143,22,180.33,0,APAC,pro,,24,0
CUST-00144,36,121.53,1,AMER,pro,7.02,12,0
CUST-00145,63,86.31,0,EMEA,pro,8.68,1,0
CUST-00146,7,97.99,0,AMER,pro,4.0,1,1
CUST-00147,48,89.54,3,AMER,pro,8.59,1,0
CUST-00148,38,127.21,0,AMER,basic,8.53,12,0
CUST-00149,10,87.7,5,AMER,basic,6.05,12,0
CUST-00150,61,171.4,2,LATAM,pro,7.27,1,0
CUST-00151,61,84.83,3,EMEA,basic,,12,0
CUST-00152,35,17.74,2,AMER,pro,7.11,24,0
CUST-00153,68,87.11,2,EMEA,pro,8.44,12,0
CUST-00154,44,29.62,1,AMER,pro,5.49,1,0
CUST-00155,65,118.21,0,AMER,enterprise,8.86,24,0
CUST-00156,69,167.66,3,EMEA,basic,8.55,24,0
CUST-00157,41,149.15,0,EMEA,pro,8.62,24,0
CUST-00158,20,59.81,2,EMEA,basic,3.36,1,1
CUST-00159,11,85.7,2,LATAM,pro,3.56,12,1
CUST-00160,40,200.04,2,LATAM,pro,8.23,12,0
CUST-00161,14,134.33,1,APAC,pro,5.89,12,0
CUST-00162,54,120.19,2,EMEA,pro,5.7,12,0
CUST-00163,66,167.52,0,APAC,pro,5.56,1,0
CUST-00164,18,230.37,3,AMER,basic,4.51,24,1
CUST-00165,40,178.35,3,APAC,pro,6.44,24,0
CUST-00166,4,126.27,1,AMER,basic,5.64,12,1
CUST-00167,13,135.96,0,LATAM,pro,5.76,12,0
CUST-00168,27,147.77,2,AMER,basic,7.84,12,0
CUST-00169,63,92.43,1,APAC,pro,4.8,12,0
CUST-00170,69,72.36,2,EMEA,pro,9.02,12,0
CUST-00171,46,122.36,2,APAC,pro,2.89,12,0
CUST-00172,42,77.38,1,EMEA,basic,10.0,1,0
CUST-00173,41,117.23,0,APAC,basic,4.47,12,0
CUST-00174,5,124.33,1,APAC,pro,8.03,1,0
CUST-00175,27,225.35,1,EMEA,basic,8.63,12,0
CUST-00176,70,81.7,1,LATAM,pro,6.95,1,0
CUST-00177,30,114.52,1,AMER,basic,8.32,24,0
CUST-00178,16,112.61,4,LATAM,basic,6.76,12,0
CUST-00179,18,139.68,2,EMEA,basic,3.73,1,0
CUST-00180,51,167.1,1,APAC,pro,,1,0
CUST-00181,3,97.93,1,EMEA,basic,9.05,12,0
CUST-00182,69,83.04,0,AMER,pro,5.95,24,0
CUST-00183,63,46.17,0,EMEA,pro,3.85,1,0
CUST-00184,41,78.32,1,LATAM,basic,5.86,12,0
CUST-00185,34,144.14,1,EMEA,pro,7.55,12,0
CUST-00186,55,122.05,1,LATAM,pro,7.51,12,0
CUST-00187,39,74.31,1,AMER,enterprise,8.98,12,0
CUST-00188,34,103.23,3,EMEA,basic,7.98,24,0
CUST-00189,23,121.42,1,EMEA,basic,7.89,24,0
CUST-00190,32,142.67,0,AMER,basic,3.29,1,1
CUST-00191,54,93.3,1,AMER,pro,10.0,12,0
CUST-00192,4,108.73,2,APAC,basic,7.05,1,1
CUST-00193,2,38.17,0,APAC,enterprise,8.54,1,0
CUST-00194,52,68.19,1,AMER,pro,6.32,12,0
CUST-00195,27,192.8,1,AMER,basic,6.68,12,0
CUST-00196,58,21.53,1,APAC,pro,7.07,12,0
CUST-00197,3,104.8,1,APAC,basic,9.85,1,1
CUST-00198,65,,1,APAC,basic,9.74,12,0
CUST-00199,9,103.15,1,APAC,pro,8.09,1,0
CUST-00200,30,83.63,1,AMER,pro,10.0,1,0
CUST-00201,69,117.25,1,EMEA,pro,6.24,24,0
CUST-00202,8,119.78,1,EMEA,basic,7.91,12,0
CUST-00203,47,116.3,1,AMER,basic,6.13,1,0
CUST-00204,52,,1,EMEA,basic,9.34,12,0
CUST-00205,31,113.37,2,EMEA,basic,7.03,24,0
CUST-00206,6,81.52,2,LATAM,basic,8.76,24,0
CUST-00207,38,95.35,0,EMEA,basic,10.0,1,0
CUST-00208,31,130.21,2,AMER,basic,3.16,12,0
CUST-00209,62,148.83,0,EMEA,pro,10.0,12,0
CUST-00210,49,160.35,4,EMEA,basic,7.56,12,0
CUST-00211,25,97.66,5,EMEA,basic,6.38,1,1
CUST-00212,5,161.58,0,EMEA,basic,3.45,1,1
CUST-00213,42,172.82,1,EMEA,basic,6.42,24,0
CUST-00214,20,171.15,3,APAC,pro,2.75,12,1
CUST-00215,49,182.54,0,AMER,basic,7.13,1,0
CUST-00216,62,113.44,1,EMEA,basic,,12,0
CUST-00217,26,112.16,0,EMEA,basic,10.0,12,1
CUST-00218,65,157.13,0,APAC,basic,6.37,1,0
CUST-00219,37,58.51,2,EMEA,enterprise,8.95,12,0
CUST-00220,38,129.42,1,APAC,pro,9.12,12,0
CUST-00221,55,96.12,2,APAC,enterprise,10.0,12,0
CUST-00222,57,103.4,2,AMER,enterprise,6.52,24,0
CUST-00223,65,41.63,3,AMER,basic,8.38,24,0
CUST-00224,71,79.93,0,APAC,pro,4.18,24,0
CUST-00225,11,119.08,3,AMER,basic,4.94,12,0
CUST-00226,30,159.98,2,LATAM,basic,6.48,24,1
CUST-00227,67,164.55,4,EMEA,pro,6.94,24,0
CUST-00228,22,116.39,2,EMEA,pro,4.74,1,0
CUST-00229,1,111.48,1,EMEA,pro,6.22,12,0
CUST-00230,41,82.62,3,AMER,basic,8.27,12,1
CUST-00231,54,138.11,5,EMEA,enterprise,6.14,12,0
CUST-00232,53,,1,LATAM,pro,6.7,1,0
CUST-00233,58,147.26,3,AMER,pro,5.34,12,0
CUST-00234,46,198.83,0,LATAM,pro,9.53,12,0
CUST-00235,10,118.54,2,AMER,enterprise,10.0,12,0
CUST-00236,61,52.62,1,AMER,basic,7.36,12,1
CUST-00237,30,81.26,2,LATAM,basic,6.77,12,0
CUST-00238,61,54.38,2,APAC,enterprise,10.0,12,0
CUST-00239,58,66.13,0,AMER,pro,7.87,1,0
CUST-00240,69,178.74,1,LATAM,enterprise,5.75,12,0
CUST-00241,2,130.2,1,AMER,basic,4.5,12,0
CUST-00242,62,51.59,1,EMEA,enterprise,5.9,12,0
CUST-00243,45,149.41,2,EMEA,basic,10.0,24,0
CUST-00244,35,176.72,1,APAC,pro,5.89,24,0
CUST-00245,57,103.81,1,AMER,enterprise,10.0,12,0
CUST-00246,68,89.58,1,AMER,pro,6.98,24,0
CUST-00247,37,104.82,2,EMEA,basic,6.59,1,0
CUST-00248,7,132.81,1,AMER,basic,9.43,12,0
CUST-00249,52,148.8,1,EMEA,basic,6.54,24,0
CUST-00250,17,173.2,2,APAC,basic,7.69,1,0
CUST-00251,17,174.56,3,LATAM,enterprise,5.07,12,1
CUST-00252,14,173.34,1,AMER,pro,4.69,12,0
CUST-00253,15,181.29,2,EMEA,basic,5.63,12,1
CUST-00254,65,149.76,4,LATAM,pro,7.4,12,0
CUST-00255,26,51.11,2,AMER,basic,5.76,12,0
CUST-00256,8,114.11,2,APAC,pro,3.37,24,1
CUST-00257,13,134.13,0,AMER,basic,7.87,1,0
CUST-00258,29,102.76,1,LATAM,basic,6.69,1,0
CUST-00259,25,161.01,1,EMEA,pro,6.48,12,0
CUST-00260,23,103.79,3,APAC,enterprise,,12,0
CUST-00261,68,78.34,0,AMER,pro,2.83,12,0
CUST-00262,62,184.99,3,EMEA,enterprise,9.93,24,0
CUST-00263,41,149.97,2,EMEA,basic,6.11,24,0
CUST-00264,71,129.87,0,AMER,basic,7.97,12,0
CUST-00265,25,161.7,1,EMEA,pro,9.57,1,0
CUST-00266,10,167.81,1,APAC,basic,9.08,12,0
CUST-00267,20,135.35,1,EMEA,basic,7.37,1,1
CUST-00268,7,10.0,1,EMEA,basic,7.01,12,0
CUST-00269,68,89.6,2,AMER,basic,7.56,12,0
CUST-00270,16,99.45,3,EMEA,pro,8.67,12,0
CUST-00271,32,75.71,0,EMEA,pro,8.07,24,0
CUST-00272,15,128.94,0,LATAM,pro,6.17,1,0
CUST-00273,70,173.65,3,APAC,pro,7.83,1,0
CUST-00274,12,98.18,0,EMEA,pro,7.69,24,0
CUST-00275,37,68.93,1,EMEA,enterprise,8.28,24,0
CUST-00276,68,211.26,2,AMER,basic,7.38,1,0
CUST-00277,38,99.69,2,EMEA,basic,9.53,12,0
CUST-00278,64,64.52,1,AMER,enterprise,7.37,12,0
CUST-00279,64,130.7,2,LATAM,enterprise,8.64,1,0
CUST-00280,55,139.16,0,EMEA,pro,7.08,12,0
CUST-00281,53,88.27,0,AMER,pro,5.94,12,0
CUST-00282,41,155.57,2,AMER,pro,5.25,12,1
CUST-00283,42,98.07,2,LATAM,basic,6.7,1,0
CUST-00284,60,78.47,1,AMER,pro,7.99,1,0
CUST-00285,31,128.04,1,AMER,basic,9.34,1,0
CUST-00286,68,154.68,1,LATAM,basic,6.83,1,0
CUST-00287,63,91.48,2,APAC,basic,6.04,12,0
CUST-00288,27,134.88,1,AMER,pro,6.06,1,0
CUST-00289,30,115.79,1,AMER,basic,9.38,12,0
CUST-00290,51,247.1,1,AMER,basic,7.19,1,0
CUST-00291,66,88.11,5,AMER,basic,6.07,12,0
CUST-00292,7,182.29,2,APAC,pro,8.36,12,0
CUST-00293,5,117.64,2,EMEA,enterprise,4.56,1,1
CUST-00294,18,114.3,4,LATAM,basic,7.21,12,0
CUST-00295,31,152.47,0,LATAM,enterprise,6.92,24,0
CUST-00296,12,160.23,0,APAC,basic,6.75,12,0
CUST-00297,37,177.02,2,EMEA,pro,4.87,1,0
CUST-00298,39,134.79,0,AMER,pro,8.81,1,0
CUST-00299,68,92.98,2,EMEA,basic,10.0,12,0
CUST-00300,53,95.81,3,EMEA,pro,4.55,1,0
CUST-00301,18,142.93,1,APAC,enterprise,7.22,24,0
CUST-00302,56,146.14,1,APAC,basic,8.19,12,0
CUST-00303,58,182.91,1,AMER,basic,10.0,24,0
CUST-00304,49,138.83,1,APAC,enterprise,6.23,12,0
CUST-00305,49,167.71,2,AMER,pro,,12,0
CUST-00306,23,188.25,1,APAC,basic,6.99,1,0
CUST-00307,51,127.42,0,AMER,basic,10.0,1,0
CUST-00308,10,53.15,1,APAC,basic,7.13,1,0
CUST-00309,45,66.93,0,EMEA,basic,7.49,24,0
CUST-00310,66,55.3,2,AMER,pro,10.0,24,0
CUST-00311,69,191.62,2,AMER,pro,3.06,12,1
CUST-00312,22,81.87,1,AMER,pro,3.0,12,0
CUST-00313,24,175.43,2,EMEA,enterprise,8.67,12,0
CUST-00314,44,146.36,0,LATAM,pro,8.43,12,0
CUST-00315,29,197.19,3,LATAM,enterprise,4.44,24,0
CUST-00316,52,165.14,2,EMEA,basic,7.95,1,0
CUST-00317,15,115.39,1,AMER,basic,7.08,24,0
CUST-00318,12,111.0,2,LATAM,enterprise,7.4,1,0
CUST-00319,4,123.83,1,LATAM,pro,5.51,12,0
CUST-00320,34,127.89,1,AMER,basic,6.16,12,0
CUST-00321,16,96.12,1,EMEA,basic,5.38,12,1
CUST-00322,22,118.53,0,EMEA,basic,7.09,1,0
CUST-00323,65,192.42,2,EMEA,basic,6.57,12,0
CUST-00324,58,43.4,1,APAC,enterprise,10.0,24,0
CUST-00325,60,131.63,1,AMER,basic,8.16,1,0
CUST-00326,43,79.19,2,AMER,basic,4.09,1,0
CUST-00327,8,128.42,1,AMER,pro,7.77,12,0
CUST-00328,54,157.79,0,EMEA,basic,9.64,24,0
CUST-00329,43,117.41,1,AMER,basic,7.52,12,0
CUST-00330,65,154.78,0,AMER,pro,9.0,1,0
CUST-00331,35,48.46,2,AMER,enterprise,6.94,1,0
CUST-00332,13,169.81,2,AMER,enterprise,8.3,24,0
CUST-00333,43,92.86,2,EMEA,basic,5.27,1,0
CUST-00334,33,148.01,1,AMER,basic,8.45,12,0
CUST-00335,47,128.21,1,EMEA,pro,4.46,1,0
CUST-00336,27,10.0,1,AMER,basic,9.38,12,1
CUST-00337,22,85.98,1,APAC,pro,4.21,12,0
CUST-00338,9,129.92,2,AMER,basic,3.1,12,1
CUST-00339,69,,1,APAC,pro,7.98,12,0
CUST-00340,54,132.93,1,EMEA,basic,6.68,12,0
CUST-00341,34,131.6,0,AMER,basic,7.21,1,0
CUST-00342,17,,1,AMER,pro,7.79,12,0
CUST-00343,45,184.4,0,AMER,pro,6.95,12,0
CUST-00344,30,201.32,0,EMEA,pro,5.37,12,0
CUST-00345,46,121.29,2,EMEA,basic,7.39,1,0
CUST-00346,7,110.11,3,AMER,pro,7.64,24,0
CUST-00347,14,47.14,1,AMER,enterprise,,1,0
CUST-00348,53,159.75,4,EMEA,basic,10.0,12,1
CUST-00349,5,241.6,0,AMER,basic,5.64,12,0
CUST-00350,49,152.27,2,APAC,basic,7.12,1,0
CUST-00351,30,176.87,0,AMER,pro,8.03,12,0
CUST-00352,1,144.39,0,AMER,basic,6.17,1,0
CUST-00353,55,75.67,1,APAC,pro,4.79,24,1
CUST-00354,50,180.15,2,AMER,basic,5.95,1,0
CUST-00355,58,64.44,1,LATAM,pro,8.96,1,0
CUST-00356,64,110.52,1,LATAM,basic,6.5,12,0
CUST-00357,52,132.55,1,APAC,pro,8.13,12,0
CUST-00358,60,159.73,0,APAC,basic,5.64,12,0
CUST-00359,9,138.72,1,AMER,pro,7.82,24,0
CUST-00360,66,137.41,1,AMER,pro,5.75,12,0
CUST-00361,65,85.73,3,EMEA,pro,5.44,24,0
CUST-00362,50,61.98,2,EMEA,basic,7.21,12,0
CUST-00363,57,,0,EMEA,basic,7.1,24,0
CUST-00364,53,88.04,1,EMEA,pro,9.72,24,0
CUST-00365,63,61.15,0,APAC,basic,4.0,24,0
CUST-00366,64,63.03,3,APAC,basic,7.94,12,0
CUST-00367,38,97.94,1,LATAM,pro,9.98,1,0
CUST-00368,58,36.63,0,EMEA,enterprise,9.51,12,0
CUST-00369,66,59.36,2,APAC,pro,6.29,12,0
CUST-00370,22,46.42,1,AMER,basic,5.74,12,0
CUST-00371,4,128.2,0,AMER,enterprise,6.09,12,0
CUST-00372,13,138.36,2,EMEA,basic,7.56,12,0
CUST-00373,3,210.32,2,APAC,basic,7.35,1,0
CUST-00374,31,52.61,3,AMER,pro,7.65,24,0
CUST-00375,2,89.42,1,AMER,enterprise,8.11,12,0
CUST-00376,19,161.07,2,AMER,pro,5.02,1,0
CUST-00377,18,110.25,1,AMER,enterprise,4.92,12,0
CUST-00378,51,105.29,4,APAC,pro,4.74,24,1
CUST-00379,18,196.91,1,AMER,basic,4.52,1,0
CUST-00380,68,104.77,2,APAC,pro,6.82,24,0
CUST-00381,14,67.97,1,LATAM,pro,7.57,1,0
CUST-00382,69,60.74,0,APAC,basic,10.0,1,0
CUST-00383,41,135.11,1,LATAM,pro,7.98,24,0
CUST-00384,18,133.74,3,AMER,basic,7.03,1,0
CUST-00385,3,58.27,2,AMER,basic,9.62,24,0
CUST-00386,22,75.66,1,AMER,enterprise,5.64,1,0
CUST-00387,42,,1,AMER,basic,7.63,12,0
CUST-00388,8,145.98,1,LATAM,basic,8.8,24,0
CUST-00389,12,,2,AMER,basic,8.45,1,0
CUST-00390,9,148.0,2,EMEA,basic,7.75,24,1
CUST-00391,49,145.73,3,AMER,basic,6.36,24,0
CUST-00392,7,39.76,0,EMEA,basic,,12,0
CUST-00393,2,105.96,3,EMEA,basic,6.72,1,1
CUST-00394,33,138.68,1,APAC,basic,5.9,24,0
CUST-00395,23,94.21,1,AMER,basic,8.27,1,0
CUST-00396,41,23.75,0,AMER,basic,6.75,12,0
CUST-00397,67,107.26,1,AMER,basic,8.04,1,0
CUST-00398,61,153.84,3,AMER,basic,4.03,24,0
CUST-00399,39,191.12,3,APAC,basic,8.8,1,0
CUST-00400,46,21.41,0,LATAM,pro,5.43,12,0
CUST-00401,58,237.6,0,AMER,pro,4.12,12,0
CUST-00402,32,69.28,1,APAC,enterprise,4.46,1,1
CUST-00403,47,163.06,2,APAC,pro,5.84,12,0
CUST-00404,16,175.54,3,AMER,pro,9.07,12,0
CUST-00405,44,164.24,3,AMER,basic,8.32,24,0
CUST-00406,17,126.73,2,APAC,pro,4.83,12,1
CUST-00407,14,67.74,0,AMER,pro,7.16,12,0
CUST-00408,55,148.2,0,LATAM,enterprise,6.81,12,0
CUST-00409,41,87.81,0,EMEA,basic,,12,1
CUST-00410,27,10.0,1,LATAM,enterprise,,12,0
CUST-00411,3,247.3,1,EMEA,enterprise,3.24,12,1
CUST-00412,17,151.86,2,AMER,enterprise,5.39,12,0
CUST-00413,57,201.81,0,EMEA,pro,2.11,12,0
CUST-00414,34,78.98,0,EMEA,pro,5.53,12,0
CUST-00415,69,186.04,1,AMER,enterprise,5.27,12,0
CUST-00416,64,191.54,2,APAC,basic,5.53,1,0
CUST-00417,61,189.95,1,APAC,pro,5.48,12,0
CUST-00418,2,119.05,5,LATAM,basic,9.13,1,1
CUST-00419,4,65.89,1,EMEA,basic,6.36,24,0
CUST-00420,42,112.02,2,EMEA,pro,7.44,24,0
CUST-00421,25,20.88,0,AMER,pro,8.39,1,0
CUST-00422,60,43.41,1,LATAM,basic,8.66,24,0
CUST-00423,23,124.14,1,APAC,pro,8.25,12,1
CUST-00424,11,75.39,1,EMEA,pro,5.98,12,0
CUST-00425,9,112.6,1,EMEA,basic,4.98,12,1
CUST-00426,22,115.1,1,APAC,basic,5.56,12,1
CUST-00427,45,206.88,2,AMER,basic,6.13,1,0
CUST-00428,9,178.39,1,AMER,pro,7.01,12,0
CUST-00429,57,117.98,0,LATAM,enterprise,6.84,24,0
CUST-00430,22,174.4,1,AMER,pro,9.02,24,0
CUST-00431,23,84.91,1,AMER,basic,6.81,12,0
CUST-00432,48,104.84,2,EMEA,enterprise,10.0,24,0
CUST-00433,62,160.96,1,AMER,basic,,24,1
CUST-00434,31,64.13,1,AMER,basic,6.11,12,0
CUST-00435,57,107.45,1,APAC,pro,8.59,24,0
CUST-00436,22,60.56,0,EMEA,basic,1.7,1,1
CUST-00437,10,125.29,2,EMEA,basic,9.54,1,0
CUST-00438,59,193.46,1,AMER,basic,7.76,12,0
CUST-00439,55,86.16,1,EMEA,enterprise,7.73,24,0
CUST-00440,54,130.16,1,AMER,basic,3.9,12,0
CUST-00441,63,79.62,2,AMER,basic,10.0,12,0
CUST-00442,36,68.27,2,AMER,basic,6.53,12,0
CUST-00443,15,,1,EMEA,pro,6.74,12,0
CUST-00444,42,185.46,2,AMER,pro,9.07,12,0
CUST-00445,41,226.31,2,APAC,enterprise,6.64,24,0
CUST-00446,28,141.74,3,EMEA,pro,5.43,1,0
CUST-00447,46,87.77,3,LATAM,pro,,12,0
CUST-00448,19,151.72,0,AMER,pro,5.13,12,1
CUST-00449,44,104.96,0,AMER,basic,8.37,1,0
CUST-00450,57,156.06,1,AMER,basic,7.25,24,0
CUST-00451,7,133.09,3,APAC,basic,9.07,12,1
CUST-00452,33,132.59,1,AMER,basic,4.77,12,0
CUST-00453,47,147.33,1,APAC,basic,,24,0
CUST-00454,4,93.92,1,EMEA,basic,7.54,12,0
CUST-00455,45,101.8,0,AMER,basic,10.0,12,0
